mon,prez_gop,gov_gop,sen_gop,rep_gop,prez_dem,gov_dem,sen_dem,rep_dem
1947/1/15,0,23,51,253,1,23,45,198
1947/2/15,0,23,51,253,1,23,45,198
1947/3/15,0,23,51,253,1,23,45,198
1947/4/15,0,23,51,253,1,23,45,198
1947/5/15,0,23,51,253,1,23,45,198
1947/6/15,0,23,51,253,1,23,45,198
1947/7/15,0,23,51,253,1,23,45,198
1947/8/15,0,23,51,253,1,23,45,198
1947/9/15,0,23,51,253,1,23,45,198
1947/10/15,0,23,51,253,1,23,45,198
1947/11/15,0,24,51,253,1,23,45,198
1947/12/15,0,24,51,253,1,23,45,198
1948/1/15,0,22,53,253,1,24,48,198
1948/2/15,0,22,53,253,1,24,48,198
1948/3/15,0,22,53,253,1,24,48,198
1948/4/15,0,22,53,253,1,24,48,198
1948/5/15,0,22,53,253,1,24,48,198
1948/6/15,0,22,53,253,1,24,48,198
1948/7/15,0,22,53,253,1,24,48,198
1948/8/15,0,22,53,253,1,24,48,198
1948/9/15,0,22,53,253,1,24,48,198
1948/10/15,0,22,53,253,1,24,48,198
1948/11/15,0,22,53,253,1,24,48,198
1948/12/15,0,22,53,253,1,24,48,198
1949/1/15,0,18,45,177,1,29,58,269
1949/2/15,0,18,45,177,1,29,58,269
1949/3/15,0,18,45,177,1,29,58,269
1949/4/15,0,18,45,177,1,29,58,269
1949/5/15,0,18,45,177,1,29,58,269
1949/6/15,0,18,45,177,1,29,58,269
1949/7/15,0,18,45,177,1,30,58,269
1949/8/15,0,18,45,177,1,30,58,269
1949/9/15,0,18,45,177,1,30,58,269
1949/10/15,0,18,45,177,1,30,58,269
1949/11/15,0,18,45,177,1,30,58,269
1949/12/15,0,18,45,177,1,30,58,269
1950/1/15,0,18,44,177,1,29,57,269
1950/2/15,0,18,44,177,1,29,57,269
1950/3/15,0,18,44,177,1,29,57,269
1950/4/15,0,18,44,177,1,29,57,269
1950/5/15,0,18,44,177,1,29,57,269
1950/6/15,0,18,44,177,1,29,57,269
1950/7/15,0,18,44,177,1,29,57,269
1950/8/15,0,18,44,177,1,29,57,269
1950/9/15,0,18,44,177,1,29,57,269
1950/10/15,0,18,44,177,1,29,57,269
1950/11/15,0,18,44,177,1,29,57,269
1950/12/15,0,18,44,177,1,29,57,269
1951/1/15,0,24,47,207,1,22,51,242
1951/2/15,0,24,47,207,1,22,51,242
1951/3/15,0,24,47,207,1,22,51,242
1951/4/15,0,24,47,207,1,22,51,242
1951/5/15,0,24,47,207,1,22,51,242
1951/6/15,0,24,47,207,1,22,51,242
1951/7/15,0,24,47,207,1,22,51,242
1951/8/15,0,24,47,207,1,22,51,242
1951/9/15,0,24,47,207,1,22,51,242
1951/10/15,0,25,47,207,1,22,51,242
1951/11/15,0,25,47,207,1,22,51,242
1951/12/15,0,25,47,207,1,22,51,242
1952/1/15,0,24,50,207,1,22,50,242
1952/2/15,0,24,50,207,1,22,50,242
1952/3/15,0,24,50,207,1,22,50,242
1952/4/15,0,24,50,207,1,22,50,242
1952/5/15,0,24,50,207,1,22,50,242
1952/6/15,0,24,50,207,1,22,50,242
1952/7/15,0,24,50,207,1,22,50,242
1952/8/15,0,24,50,207,1,22,50,242
1952/9/15,0,24,50,207,1,22,50,242
1952/10/15,0,24,50,207,1,22,50,242
1952/11/15,0,24,50,207,1,22,50,242
1952/12/15,0,24,50,207,1,22,50,242
1953/1/15,1,29,50,222,0,17,49,220
1953/2/15,1,29,50,222,0,17,49,220
1953/3/15,1,29,50,222,0,17,49,220
1953/4/15,1,29,50,222,0,17,49,220
1953/5/15,1,29,50,222,0,17,49,220
1953/6/15,1,29,50,222,0,17,49,220
1953/7/15,1,29,50,222,0,17,49,220
1953/8/15,1,29,50,222,0,17,49,220
1953/9/15,1,29,50,222,0,17,49,220
1953/10/15,1,30,50,222,0,18,49,220
1953/11/15,1,30,50,222,0,18,49,220
1953/12/15,1,30,50,222,0,18,49,220
1954/1/15,1,29,55,222,0,18,53,220
1954/2/15,1,29,55,222,0,18,53,220
1954/3/15,1,29,55,222,0,18,53,220
1954/4/15,1,29,55,222,0,18,53,220
1954/5/15,1,29,55,222,0,18,53,220
1954/6/15,1,29,55,222,0,18,53,220
1954/7/15,1,29,55,222,0,18,53,220
1954/8/15,1,29,55,222,0,18,53,220
1954/9/15,1,29,55,222,0,18,53,220
1954/10/15,1,29,55,222,0,18,53,220
1954/11/15,1,29,55,222,0,19,53,220
1954/12/15,1,29,55,222,0,19,53,220
1955/1/15,1,21,47,204,0,26,48,237
1955/2/15,1,21,47,204,0,26,48,237
1955/3/15,1,21,47,204,0,26,48,237
1955/4/15,1,21,47,204,0,26,48,237
1955/5/15,1,21,47,204,0,26,48,237
1955/6/15,1,21,47,204,0,26,48,237
1955/7/15,1,21,47,204,0,26,48,237
1955/8/15,1,21,47,204,0,26,48,237
1955/9/15,1,21,47,204,0,26,48,237
1955/10/15,1,21,47,204,0,26,48,237
1955/11/15,1,21,47,204,0,26,48,237
1955/12/15,1,21,47,204,0,26,48,237
1956/1/15,1,21,49,204,0,26,51,237
1956/2/15,1,21,49,204,0,26,51,237
1956/3/15,1,21,49,204,0,26,51,237
1956/4/15,1,21,49,204,0,26,50,237
1956/5/15,1,21,49,204,0,26,50,237
1956/6/15,1,21,49,204,0,26,50,237
1956/7/15,1,21,49,204,0,26,50,237
1956/8/15,1,21,49,204,0,26,50,237
1956/9/15,1,21,49,204,0,26,50,237
1956/10/15,1,21,49,204,0,26,50,237
1956/11/15,1,21,49,204,0,26,51,237
1956/12/15,1,21,49,204,0,26,51,237
1957/1/15,1,19,47,203,0,28,52,242
1957/2/15,1,19,47,203,0,28,52,242
1957/3/15,1,19,47,203,0,28,52,242
1957/4/15,1,19,47,203,0,28,52,242
1957/5/15,1,19,47,203,0,28,52,242
1957/6/15,1,19,47,203,0,28,52,242
1957/7/15,1,19,47,203,0,28,52,242
1957/8/15,1,19,47,203,0,28,52,242
1957/9/15,1,20,47,203,0,28,52,242
1957/10/15,1,20,47,203,0,28,52,242
1957/11/15,1,20,47,203,0,28,52,242
1957/12/15,1,20,47,203,0,28,52,242
1958/1/15,1,20,47,203,0,28,52,242
1958/2/15,1,20,47,203,0,28,52,242
1958/3/15,1,20,47,203,0,28,52,242
1958/4/15,1,20,47,203,0,28,52,242
1958/5/15,1,20,47,203,0,28,52,242
1958/6/15,1,20,47,203,0,28,52,242
1958/7/15,1,20,47,203,0,28,52,242
1958/8/15,1,20,47,203,0,28,52,242
1958/9/15,1,20,47,203,0,28,52,242
1958/10/15,1,20,47,203,0,28,52,242
1958/11/15,1,20,47,203,0,28,52,242
1958/12/15,1,20,47,203,0,28,52,242
1959/1/15,1,15,35,159,0,35,65,289
1959/2/15,1,15,35,159,0,35,65,289
1959/3/15,1,15,35,159,0,35,65,289
1959/4/15,1,15,35,159,0,35,65,289
1959/5/15,1,15,35,159,0,35,65,289
1959/6/15,1,15,35,159,0,35,65,289
1959/7/15,1,15,35,159,0,35,65,289
1959/8/15,1,15,35,159,0,35,65,289
1959/9/15,1,15,35,159,0,35,65,289
1959/10/15,1,15,35,159,0,35,65,289
1959/11/15,1,15,35,159,0,35,65,289
1959/12/15,1,15,35,159,0,35,65,289
1960/1/15,1,16,35,159,0,34,70,289
1960/2/15,1,16,35,159,0,34,70,289
1960/3/15,1,16,35,159,0,34,70,289
1960/4/15,1,16,35,159,0,34,70,289
1960/5/15,1,16,35,159,0,34,70,289
1960/6/15,1,16,35,159,0,34,70,289
1960/7/15,1,16,35,159,0,34,70,289
1960/8/15,1,16,35,159,0,34,70,289
1960/9/15,1,17,35,159,0,34,70,289
